,psdbeta_9,psdbeta_13,psdtheta_13,psdtheta_3,psdalpha_9,psdalpha_3,psdalpha_7,psdbeta_5,psdalpha_13,psdalpha_8,psdtheta_11,psdbeta_7,psdbeta_10,psdtheta_5,psdtheta_10,psdtheta_8,psdtheta_7,psdalpha_10,psdalpha_11,psdalpha_5,psdbeta_1,psdalpha_2,psdbeta_3,psdtheta_2,psdtheta_12,psdbeta_2,psdtheta_9,video_name,video,t_maximum,r_maximum,p_maximum,p_wave_range,r_wave_range,t_wave_range,p_std,t_std,r_std,r_mean,p_mean,t_mean,HRV_ShanEn,HRV_HTI,HRV_ApEn,HRV_MFDFA_alpha1_Mean,HRV_SD2,HRV_HFn,HRV_CVI,HRV_Prc80NN,HRV_HF,HRV_Ca,HRV_LFHF,HRV_SD1a,HRV_S,HRV_MadNN,HRV_SD2a,target
0,-0.353097555,-0.419731963,-0.343952125,-0.475254482,-0.373329592,-0.468150227,-0.261719618,-0.279273891,-0.350666841,-0.504424024,-0.478058009,-0.304539471,-0.1949491,-0.326654416,-0.207346554,-0.492804569,-0.258925429,-0.205851995,-0.482682134,-0.320710957,-0.166261379,-0.143640402,-0.33036512,-0.145116607,-0.284201529,-0.11917014,-0.371261533,10,1,0.304966793,0.303867729,0.303361287,0.300593446,0.300582601,0.301179025,0.302031096,0.301567588,0.302032493,0.298999641,0.29795651,0.30054839,0.911528924,0.714608774,0.677244272,0.865874166,1.060026718,2.175674602,1.011948248,1.005050505,3.627621148,1.049158096,0.410145325,1.077185837,1.123119362,1,1.086575801,7
1,-0.16413008,-0.175392652,-0.111932362,0.302382741,0.038875324,0.258149829,-0.161049445,-0.16943415,-0.116606979,0.01849342,-0.092342566,-0.230029769,-0.130263219,-0.123385968,-0.103735843,0.02706196,-0.156285407,-0.106744747,-0.107961184,-0.12922947,-0.155580479,-0.108870979,-0.12102881,-0.105667573,0.01937137,-0.168437691,0.060472877,2,2,0.463791672,0.463156791,0.46258789,0.45890195,0.458871924,0.457956798,0.450558534,0.451040809,0.450569668,0.468511312,0.467389197,0.469264695,0.900129347,0.989480605,0.828077461,1.189458014,0.837870237,1.642232428,0.939025987,0.894635359,0.450490169,0.992887845,0.572625409,0.64378409,0.536757049,0.84375,0.835035569,0
2,-0.027736857,-0.117177425,-0.128324621,0.063157428,0.033106103,0.05774528,-0.132558781,-0.149020516,-0.128255324,-0.093870544,-0.017967,-0.147711693,-0.128535814,-0.139531816,-0.122362272,-0.091776937,-0.131314592,-0.123061635,-0.020136013,-0.140973241,-0.122636868,-0.111235038,0.006707287,-0.109387693,0.00314081,-0.140875027,0.038303419,14,3,0.173535025,0.173054033,0.172699087,0.171435163,0.171425035,0.171590069,0.175865824,0.175869889,0.175853397,0.177194227,0.176460486,0.178162498,0.892551697,0.732810164,0.422846684,0.901581107,0.904748523,1.962004236,0.988427724,1.027901726,4.489242764,0.753055051,0.717908027,1.020286548,0.88880361,0.923684211,0.762873928,2
3,-0.210937993,-0.311653573,-0.275669186,-0.067104287,-0.191370646,-0.068218211,-0.19484951,-0.230108913,-0.279672111,-0.325007109,-0.288830053,-0.223454758,-0.167809659,-0.261335777,-0.175622276,-0.319296905,-0.192837812,-0.174685234,-0.292383829,-0.257476178,-0.23082495,-0.114522282,-0.07164419,-0.113029691,-0.096433975,-0.139099548,-0.187639011,15,4,0.364579612,0.367102936,0.366418069,0.362371231,0.362476371,0.359213718,0.361791678,0.35872887,0.361760662,0.369620518,0.368458794,0.368276512,0.911418657,0.728547672,0.731924895,0.97647028,0.820520462,0.886362793,0.957134756,0.948635094,0.717086987,0.785177217,1.22286445,0.716231104,0.652117902,0.8125,0.72641668,5
4,0.203094948,0.125982232,0.002495864,0.314589859,0.20895966,0.301284447,-0.017966625,-0.054180934,0.011463703,0.066536715,0.24087055,0.042514909,-0.061214243,-0.037454507,-0.054718221,0.055868232,-0.022817092,-0.055124143,0.249990493,-0.038864972,-0.032672694,-0.152181081,0.191730216,-0.148676308,-0.024099551,-0.201394472,0.205087599,0,5,0.448406404,0.447229683,0.446739506,0.443626959,0.443525583,0.443794204,0.455058264,0.455848974,0.455074086,0.454088558,0.452918681,0.454329381,1.007655362,1.121201657,0.743647822,1.030025289,1.302217182,3.581607935,1.051062313,1.0755,1.381814306,0.980382588,0.086450379,1.4286528,1.64359598,1.238095238,1.264587173,1
5,3.488982907,2.369315697,1.049048265,10.89567872,2.557094203,11.08293101,2.349470917,0.837976629,1.126793609,2.294400957,5.571063423,4.47469834,0.423643178,0.816275783,0.364713688,2.149586612,2.227492482,0.366589813,5.820641036,0.808896202,0.208765908,1.264252923,12.66506782,1.253580482,4.271713018,1.354435912,2.472603553,6,6,0.319728372,0.317407232,0.316912431,0.314109772,0.314084115,0.315108419,0.321362759,0.322628803,0.321424811,0.308343837,0.307331443,0.311326914,0.918385977,0.794759334,0.642802053,0.863374354,1.215947418,1.745015275,1.083625562,1.071939262,7.842670962,1.120594538,0.513547682,1.669242821,2.355267203,1.829861111,1.313944424,6
6,2.370812739,1.599465625,0.597171235,4.621589934,1.611292889,4.540679222,0.865207862,0.330678383,0.65496617,1.159079262,3.003481998,1.378144159,0.121698305,0.2929269,0.091026634,1.082403235,0.8367175,0.091808841,3.075118234,0.291474103,-0.10220536,0.089043494,3.54605202,0.08880627,1.743338732,0.110199157,1.54076123,17,7,0.313416099,0.31678159,0.316184877,0.316416381,0.316573385,0.312577519,0.322380539,0.318434924,0.322466622,0.315819708,0.314716286,0.31335409,0.97999211,1.239862757,0.53126939,0.715895869,0.918232114,2.533922734,1.028610832,0.977477477,10.06821795,0.989012944,0.551986403,1.356119613,1.32861908,1.8,0.922637768,3
7,-0.652011571,-0.580201924,-0.430332875,-1.004251869,-0.589455216,-1.012582897,-0.409540063,-0.342462409,-0.441673724,-0.685633452,-0.806156142,-0.562923556,-0.225738556,-0.39768278,-0.239736951,-0.664802329,-0.39969734,-0.237893036,-0.822824431,-0.390391516,-0.430266266,-0.416471234,-1.034300443,-0.398148559,-0.454044446,-0.69031894,-0.57964397,1,8,0.153393631,0.152797904,0.152464876,0.150475547,0.150523476,0.150570561,0.154988501,0.154506558,0.154981005,0.151750221,0.151139879,0.153612751,0.89467094,0.477975284,0.444697631,1.231480227,1.145214311,1.507597236,1.051033335,1.073223978,10.98167728,1.071531394,0.928085631,1.338381613,1.666374202,0.95,1.195092578,4
8,1.036673916,0.82648955,0.159589516,-0.772435326,0.561860715,-0.774397954,0.599105768,0.086780283,0.205183169,0.460956967,1.731135425,1.690414572,0.004900872,0.00755759,-0.039771183,0.387809203,0.523329575,-0.032988613,1.907941066,0.020646711,-0.39454535,-0.304531264,-0.71629641,-0.29911208,-0.334892822,-0.272219837,0.502816888,5,9,0.419585415,0.416816056,0.41627078,0.415069584,0.414980059,0.416444913,0.425252152,0.427442759,0.42530555,0.417702247,0.41652847,0.421763091,1.021495832,1.631205674,0.667327743,1.014599572,1.302254765,3.005606867,1.042089185,1.003395239,1.60251012,0.913440729,0.221217435,1.110372367,1.515488126,1.857142857,1.245340866,8
9,-0.160872806,-0.220316009,-0.237300538,0.260414606,-0.142868793,0.224055894,-0.043761169,-0.045716437,-0.237833853,0.145650012,0.263831904,-0.135739263,5.003586889,0.042055035,5.010597335,0.157310225,-0.036012794,5.031239976,0.251042717,0.030566119,0.322045627,0.062113666,-0.074931823,0.068003644,0.044492618,-0.056992199,-0.140484895,13,10,0.906869187,0.91819493,0.917927842,0.907494076,0.907268096,0.897312079,0.908958254,0.886655099,0.908601959,0.933877755,0.933557287,0.944873245,1.137293872,2.013817508,1.117391178,1.119720385,1.026745152,1.025619341,1.020238501,1.026053447,0.213197719,1.1044669,3.985087603,1.213350403,1.238730096,1.875,1.167405875,6
