,video_name,video,psdbeta_9,psdbeta_13,psdtheta_13,psdtheta_3,psdalpha_9,psdalpha_3,psdalpha_7,psdbeta_5,psdalpha_13,psdalpha_8,psdtheta_11,psdbeta_7,psdbeta_10,psdtheta_5,psdtheta_10,psdtheta_8,psdtheta_7,psdalpha_10,psdalpha_11,psdalpha_5,psdbeta_1,psdalpha_2,psdbeta_3,psdtheta_2,psdtheta_12,psdbeta_2,psdtheta_9,gender,target
0,10,1,-0.3530975551648116,-0.4197319634219988,-0.3439521250845008,-0.4752544816996754,-0.3733295920778228,-0.4681502274396987,-0.2617196180503882,-0.2792738912803215,-0.3506668405853563,-0.5044240236085444,-0.4780580092073238,-0.3045394709858324,-0.1949491004971064,-0.3266544160272378,-0.2073465538684891,-0.492804568634425,-0.2589254293094951,-0.2058519949329613,-0.4826821337129726,-0.3207109566429507,-0.1662613789904686,-0.1436404021446661,-0.3303651197083723,-0.1451166070028388,-0.2842015288134618,-0.1191701402238914,-0.3712615327890176,0,7
1,2,2,-0.1641300800179732,-0.1753926518568143,-0.1119323621420917,0.3023827405382121,0.038875324447238,0.2581498287298497,-0.1610494452244176,-0.1694341500674557,-0.1166069789685754,0.0184934197781258,-0.0923425663555525,-0.2300297689078568,-0.1302632193007693,-0.1233859679912013,-0.1037358431802396,0.0270619599167724,-0.1562854071781735,-0.1067447468627106,-0.1079611842970095,-0.1292294695755123,-0.1555804790458254,-0.1088709794913727,-0.1210288099561741,-0.1056675729308874,0.0193713702995431,-0.1684376907014759,0.0604728768260337,0,0
2,14,3,-0.0277368565494563,-0.1171774253777577,-0.1283246205746234,0.0631574275758695,0.033106102526157,0.0577452804672089,-0.132558780574091,-0.1490205161875328,-0.1282553235341745,-0.0938705436177862,-0.017966999687418,-0.1477116931015317,-0.1285358139901195,-0.1395318155278919,-0.1223622716443023,-0.0917769372497826,-0.1313145918552259,-0.1230616346016533,-0.020136013017803,-0.1409732412672044,-0.1226368677511573,-0.1112350375751052,0.006707287373014,-0.1093876928708305,0.0031408100686354,-0.1408750269826956,0.0383034187392176,0,2
3,15,4,-0.2109379932308994,-0.3116535731771834,-0.27566918641762,-0.0671042868422561,-0.1913706463891031,-0.0682182107779469,-0.1948495099152636,-0.2301089126345235,-0.2796721105408489,-0.325007109408418,-0.2888300534630372,-0.2234547582563731,-0.167809659343022,-0.2613357772671947,-0.1756222764517543,-0.3192969047854509,-0.1928378123119049,-0.1746852338291491,-0.2923838292802824,-0.257476178096085,-0.2308249502763343,-0.1145222821684269,-0.0716441898979573,-0.1130296909723969,-0.0964339751378993,-0.139099548235807,-0.1876390110222735,0,5
4,0,5,0.203094948331852,0.1259822318875452,0.0024958642949729,0.3145898589963354,0.2089596604376928,0.3012844465283901,-0.0179666252680237,-0.0541809336016961,0.0114637029321307,0.066536715423598,0.2408705499272072,0.0425149090297748,-0.0612142426661253,-0.0374545069536472,-0.0547182213818981,0.0558682320798983,-0.0228170924532994,-0.0551241434888134,0.2499904930061666,-0.0388649715878635,-0.0326726939336994,-0.1521810808039014,0.1917302164212905,-0.1486763078364022,-0.0240995513018914,-0.2013944720638918,0.2050875991235326,0,1
5,6,6,3.4889829067394627,2.3693156969412543,1.049048264511817,10.895678716930451,2.5570942028468715,11.082931006241015,2.349470916911733,0.8379766285255736,1.1267936085072008,2.294400957348181,5.571063422937776,4.47469833957757,0.4236431777102127,0.8162757826192567,0.3647136883781574,2.1495866124517065,2.2274924819707773,0.3665898128700431,5.820641035580657,0.8088962020072451,0.2087659084874247,1.2642529228767443,12.665067816939166,1.253580482473475,4.271713017500426,1.354435912190206,2.472603552810769,0,6
6,17,7,2.370812738548399,1.5994656245241037,0.5971712353577049,4.621589933678057,1.611292889081278,4.5406792223615335,0.8652078621345025,0.3306783833780319,0.6549661704383813,1.1590792620239323,3.0034819977228606,1.3781441593353576,0.1216983047604055,0.2929268997711999,0.0910266336966835,1.082403235316455,0.8367175003268738,0.0918088410485077,3.075118233587712,0.2914741034464996,-0.1022053596579867,0.0890434940241156,3.546052019563741,0.0888062699492902,1.7433387322651204,0.1101991571880512,1.5407612299725244,0,3
7,1,8,-0.6520115709187585,-0.5802019236151857,-0.4303328747595645,-1.0042518687844266,-0.5894552164957652,-1.0125828971492803,-0.4095400625467891,-0.3424624090476814,-0.4416737240592798,-0.6856334524524036,-0.8061561421272626,-0.562923556032095,-0.2257385560402266,-0.3976827797319881,-0.2397369511540239,-0.6648023287474127,-0.3996973399739479,-0.2378930364694205,-0.8228244312516628,-0.3903915162770403,-0.430266265844246,-0.4164712335790499,-1.0343004430913962,-0.3981485594621134,-0.454044446031045,-0.6903189402880766,-0.5796439697664109,0,4
8,5,9,1.0366739160543992,0.8264895495832055,0.1595895163928441,-0.7724353260693092,0.5618607148472053,-0.7743979538926276,0.599105768134175,0.0867802826150931,0.2051831685847253,0.4609569667392122,1.731135425304344,1.6904145720527406,0.0049008719492292,0.0075575902365953,-0.0397711827311328,0.3878092030077593,0.5233295751537945,-0.0329886133301214,1.9079410660494696,0.0206467109953814,-0.3945453503976603,-0.3045312636970469,-0.7162964097675739,-0.2991120798275641,-0.3348928219056366,-0.2722198366350112,0.5028168882787972,0,8
9,13,10,-0.1608728061302327,-0.2203160085961568,-0.2373005383991027,0.2604146064585567,-0.1428687930464766,0.2240558943219586,-0.0437611686006513,-0.0457164373053804,-0.2378338532445445,0.1456500124853135,0.2638319043170996,-0.1357392629759389,5.003586888542911,0.0420550354990439,5.010597334765496,0.1573102249830308,-0.0360127941706755,5.031239976142103,0.2510427169777067,0.0305661191034068,0.3220456268069496,0.0621136656451486,-0.0749318232774533,0.0680036444564475,0.0444926179344434,-0.056992198749312,-0.1404848952294567,0,6
